CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,Class
42,Scrypt,PoW/PoS,41.99995383,42,-0.3368831705077224,1.0301318869173954,-0.5634136511703826,42 Coin,0
404,Scrypt,PoW/PoS,1055184902.04,532000000,-0.3202185544849204,1.0301830154287355,-0.563654945280414,404Coin,0
1337,X13,PoW/PoS,29279424622.5027,314159265359,2.30621891075264,1.6410692037736354,-0.6275734331027334,EliteCoin,0
BTC,SHA-256,PoW,17927175.0,21000000,-0.14385803015491416,-1.2755048017315522,0.1608512516236528,Bitcoin,1
ETH,Ethash,PoW,107684222.6865,0,-0.15646303188427213,-2.083974272248161,0.3994965471051723,Ethereum,1
LTC,Scrypt,PoW,63039243.3000049,84000000,-0.1667938997858247,-1.1329382531917367,0.003730979340295205,Litecoin,1
DASH,X11,PoW/PoS,9031294.37563393,22000000,-0.3970861968939456,1.2465378433026053,-0.5185960328325312,Dash,0
XMR,CryptoNight-V7,PoW,17201143.1449131,0,-0.14671789742662428,-2.1624757977093387,0.42951424911756186,Monero,1
ETC,Ethash,PoW,113359703.0,210000000,-0.15490460450113172,-2.0840917669442014,0.39949244516236365,Ethereum Classic,1
ZEC,Equihash,PoW,7383056.25,21000000,-0.17425439176193766,-1.9520417263820447,0.4279403438013827,ZCash,1
BTS,SHA-512,PoS,2741570000.0,3600570502,-0.27547027304295013,1.5107252570528038,0.008864508727824823,Bitshares,0
DGB,Multiple,PoW,11406219141.0,21000000000,0.1611149463003843,-1.8069788213540483,0.35972580733457005,DigiByte,1
BTCD,SHA-256,PoW/PoS,1288862.0,22000000,-0.3127776496228265,0.887532560473652,-0.40630482357442516,BitcoinDark,0
XPY,SHA-256,PoS,11995334.8847328,12500000,-0.26534320518156634,0.6357133770019519,-0.05392151445048929,PayCoin,0
PRC,Scrypt,PoW,5768310.0,21000000,-0.16794036246043295,-1.132921626106362,0.0037445377211037,ProsperCoin,1
KOBO,X15,PoW/PoS,25542535.5881841,350000000,-0.24477463200944902,1.8251742410704108,-0.6639144584431865,KoboCoin,0
SPR,X11,PoW,11149733.9976203,20000000,-0.2283510724043469,-0.9165038160588133,0.048563277129736876,Spreadcoin,1
ARG,Scrypt,PoW,12205795.4449549,64000000,-0.16755680140777354,-1.1329439167328859,0.0037425274626951967,Argentum,1
AUR,Scrypt,PoW/PoS,18135099.992959,16768584,-0.3365426923341225,1.0301284302609832,-0.5634179014255525,Aurora Coin,0
BLU,Scrypt,PoW/PoS,635423900.0,0,-0.3291195495054199,1.030344821932545,-0.5635546196439929,BlueCoin,0
XMY,Multiple,PoW,1688254250.0,2000000000,-0.09234601191329056,-1.799432830989806,0.36213894248265593,MyriadCoin,1
MOON,Scrypt,PoW,88.0,384000000000,2.5547371709903994,-1.3512368112627398,-0.0014522348255474108,MoonCoin,1
ZET,SHA-256,PoW,170204389.754849,169795588,-0.14094241285393302,-1.2755383710722896,0.16081545470187344,ZetaCoin,1
SXC,Scrypt,PoW,128940951.183046,250000000,-0.1648116257649087,-1.133010549228292,0.003714111880864132,SexCoin,1
QTL,Scrypt,PoW,7357794.7925,100000000,-0.16736076278982667,-1.1329660093186409,0.0037431156452368175,Quatloo,1
ENRG,Scrypt,PoW/PoS,123062801.128773,0,-0.33537958757366026,1.0301731261349423,-0.5634409525831374,EnergyCoin,0
QRK,Quark,PoW,259557164.91477,247000000,-0.23478945984448935,-0.46696008328616845,0.02823531029768179,QuarkCoin,1
RIC,Groestl,PoW,49548585.1412917,84000000,-0.2060976326396418,-1.1853219547155849,0.12427539397659261,Riecoin,1
DGC,Scrypt,PoW,33442988.3440364,48166000,-0.16740960191631993,-1.1329277974977692,0.0037380303519254847,Digitalcoin ,1
BTB,Scrypt,PoW/PoS,42579.476901,500000,-0.3368791056431053,1.0301316169182888,-0.5634136673754006,BitBar,0
CAT,Scrypt,PoW,7219956.64626131,21000000 ,-0.1679226262129168,-1.1329211396493897,0.003744215674000461,Catcoin,1
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000,-0.3368633844934458,1.0301316665872915,-0.5634138952253557,CryptoBullion,0
CCN,Scrypt,PoW,4703879.51824446,13140000,-0.16800910198946406,-1.1329175139607108,0.00374488026793931,CannaCoin,1
CRYPT,X11,PoW,4996986.20575291,18000000,-0.22844042855368418,-0.9165047407773758,0.04856466918851451,CryptCoin,1
CSC,Scrypt,PoC,39999997299.8568,40000000000,0.6579015790480952,0.5830003269663216,-0.5220724763122913,CasinoCoin,0
